iter	Passed	Remaining
859	5286	860
860	5293	854
861	5300	848
862	5306	842
863	5313	836
864	5320	830
865	5327	824
866	5334	818
867	5341	812
868	5347	806
869	5354	800
870	5361	794
871	5367	787
872	5374	781
873	5381	775
874	5387	769
875	5394	763
876	5401	757
877	5408	751
878	5415	745
879	5422	739
880	5429	733
881	5435	727
882	5442	721
883	5449	715
884	5455	708
885	5462	702
886	5468	696
887	5474	690
888	5481	684
889	5488	678
890	5494	672
891	5501	666
892	5508	660
893	5515	653
894	5522	647
895	5530	641
896	5537	635
897	5544	629
898	5550	623
899	5557	617
900	5564	611
901	5571	605
902	5578	599
903	5585	593
904	5592	587
905	5599	580
906	5606	574
907	5612	568
908	5620	562
909	5626	556
910	5633	550
911	5639	544
912	5646	538
913	5653	531
914	5659	525
915	5666	519
916	5673	513
917	5680	507
918	5687	501
919	5694	495
920	5701	489
921	5708	482
922	5716	476
923	5722	470
924	5728	464
925	5735	458
926	5742	452
927	5749	446
928	5756	439
929	5763	433
930	5770	427
931	5777	421
932	5784	415
933	5791	409
934	5798	403
935	5804	396
936	5811	390
937	5818	384
938	5825	378
939	5832	372
940	5839	366
941	5847	360
942	5853	353
943	5860	347
944	5867	341
945	5874	335
946	5880	329
947	5887	322
948	5893	316
949	5900	310
950	5907	304
951	5914	298
952	5922	292
953	5929	285
954	5937	279
955	5944	273
956	5951	267
957	5959	261
958	5967	255
959	5974	248
960	5981	242
961	5988	236
962	5995	230
963	6002	224
964	6009	217
965	6015	211
966	6022	205
967	6029	199
968	6036	193
969	6043	186
970	6050	180
971	6057	174
972	6064	168
973	6071	162
974	6079	155
975	6085	149
976	6092	143
977	6099	137
978	6106	130
979	6113	124
980	6120	118
981	6127	112
982	6134	106
983	6141	99
984	6148	93
985	6155	87
986	6161	81
987	6168	74
988	6175	68
989	6183	62
990	6189	56
991	6196	49
992	6203	43
993	6210	37
994	6218	31
995	6225	25
996	6231	18
997	6237	12
998	6245	6
999	6252	0
